artist_id,artist_name
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd
22WZ7M8sxp5THdruNY3gXt,The Doors
36QJpDe2go2KgaRleHCDTp,Led Zeppelin
1dfeR4HaWDbWqFHLkxsg1d,Queen
568ZhdwyaiCyOGJRtNYhWf,Deep Purple
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
711MCceyCBcFnzjGY4Q7Un,AC/DC
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
3WrFJ7ztbogyGnTHbHJFl2,The Beatles
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits
6olE6TJLqED3rqDCT0FyPh,Nirvana
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses
6zvul52xwTWzilBZl6BUbT,Pixies
5NGO30tJxFlKixkPSgXcFE,The Police
2AM4ilv6UzW0uMRuqKtDgN,ZZ Top
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith
67ea9eGLXYMsO2eYQRui3w,The Who
58lV9VcRSjABbAbfWS6skp,Bon Jovi
4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd
27T030eWyCQRmDyuvr1kxY,Scorpions
51Blml2LZPmy7TTiAg47vQ,U2
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers
0ECwFtbIWEVNwjlrfc6xoL,Eagles
3ICflSq6ZgYAIrm2CTkfVP,The Animals
4KWTAlx2RvbpseOGMEmROg,R.E.M.
4Z8W4fKeB5YxbusRsdQVPb,Radiohead
3oDbviiivRWhXwIE8hxkVV,The Beach Boys
